,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
Age_08_04,-0.36790114822230924,0.34913382896105394,-0.09239914692629848,-0.01825898227629492,0.2894141987676116,-0.055782861052238515,0.0626425110208911,0.12074182968374791,0.027357398958001693
Mfg_Month,0.052390136151587274,-0.09647943718650842,0.08520034222075634,-0.07333763991740341,-0.18603920587497516,0.6824866961533814,0.5061030964272802,0.30682676467314435,0.30939997582846107
KM,-0.23377869899872475,0.3759590165763968,0.2955140968477084,-0.08862300045421923,0.1961942387714975,0.09865026288985777,-0.0835281312854026,0.1894376793586675,0.070422986898025
HP,0.20391027118299068,0.10517221748098396,-0.22488110514660328,0.3464974165961207,-0.04142671769607308,-0.3354559143568086,0.6179721765372155,-0.021183186326082442,-0.09224713283555856
Met_Color,0.12124328558785537,0.03144419966430086,-0.06124073744207177,0.4342406463537723,0.23330258292614547,0.5165185410119043,-0.22865831950047133,0.042595247563573815,-0.4510249486550314
cc,0.14696844399351391,0.27107694843374835,0.5048923521079747,0.1777716865364749,-0.17317092689386732,-0.14442123429250875,0.2618259801388276,0.02679565269428992,-0.23019209618010988
Quarterly_Tax,0.18671142956379513,0.08155017913603757,0.5902039791912395,0.056019311835634626,0.06226537245748007,-0.0886984449098998,-0.07169423327049472,0.02014615589302525,-0.028806964035289827
Mfr_Guarantee,0.11270656618502707,-0.22063367745189597,-0.07595141161148472,0.38927183159064754,0.3461405663277863,-0.166962216049481,-0.05990810796447194,0.6162508644639393,0.004530180415422207
Airbag_2,0.2166687830280266,-0.31864359797182024,0.22578962189393018,-0.06708747327820118,0.3949445855789933,-0.048297652909453724,-0.021998841854238064,-0.01959342432761281,0.3444404326762656
Airco,0.38145256426352236,0.16747449011528406,-0.00695275435794724,-0.056852478867006416,-0.04514959182368778,0.021398613999814707,0.002449341760858595,-0.0006670771143071073,0.12170914441497495
Boardcomputer,0.3230402541676222,-0.3534085634834817,0.08992883555444495,0.058746733569611936,-0.21729749057709333,-0.024318326587631924,-0.21758094432920327,-0.11613368406403266,0.02337856111423673
Central_Lock,0.3758946448979276,0.3219539552537079,-0.18347314191367844,-0.1426962080087708,0.03543679429749095,0.1167926527190524,-0.10011452723779855,-0.04171584246275063,-0.1000263967022843
Powered_Windows,0.3774236900492741,0.30583737847807774,-0.2109365920068658,-0.14555479573819438,0.03854039010904995,0.12079930525945805,-0.09224143088713953,-0.03994954471112204,-0.07299430231388508
Mistlamps,0.2987666396349373,0.22621046094198868,-0.09396885959868999,-0.21802023499073683,0.2281413774368867,-0.15870228295499864,-0.04373956047703346,0.2083522248651543,0.33749947609508274
Sport_Model,0.060168596296279055,-0.19535101595674131,0.09112510996624176,-0.2627804906837581,0.5864657754861357,0.09102151179848422,0.36745176357482323,-0.3825973100279627,-0.2906243900043774
Tow_Bar,-0.053859430676873384,0.1974605332139132,0.005307231179698708,0.546981697014474,0.13687979484220228,0.13310845633364835,-0.05056342811637,-0.5130602730416538,0.5257628517844204
Fuel_Type_Diesel,-0.001007477431160106,0.039064679665176204,0.18865665948840343,-0.03585161306570208,-0.04305749643610334,0.03540653786582296,-0.07348109671217583,0.007507188293651099,-0.05176996376158419
Fuel_Type_Petrol,0.0005010997867362921,-0.0462468767983182,-0.1994919818229541,0.02811853310795199,0.04522866014318582,-0.033771840018201646,0.07384469818472425,-0.010990300326033535,0.051918759323460524
Doors_3,-0.04259769948511934,-0.04132453379571569,-0.03766366105236883,-0.11629635247486295,0.06573039085515457,0.011981114423082542,0.049761132435501496,-0.028540314375542046,-0.04354979607732168
Doors_4,-0.014745253222633169,0.006774891457450267,-0.010108340110284306,0.04045002100710002,-0.020465933145942018,-0.0037243400493591206,-0.00071039902083243,0.03175229287686146,0.00525137852219871
Doors_5,0.05865872760754879,0.03431624094617922,0.04672037280470315,0.0760942193603629,-0.044354486076189116,-0.009446436778224099,-0.048165202415691236,-0.00322070016198946,0.03694371276092598
