,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
Age_08_04,-0.36790114822230907,0.3491338289610546,-0.09239914692629793,-0.018258982276295313,0.28941419876761226,-0.055782861052238376,0.06264251102089186,0.12074182968374829,0.027357398958001707,0.05747030302740368,-0.06329531527243173,-0.05725110195160885,-0.061566433472475694,0.025944177969301777
Mfg_Month,0.052390136151587496,-0.09647943718650898,0.08520034222075626,-0.07333763991740302,-0.18603920587497483,0.6824866961533836,0.5061030964272769,0.30682676467314585,0.3093999758284609,-0.09692605220058198,-0.08101090696272364,-0.025533717784316533,0.03339245195549854,0.04295675160943642
Mfg_Year,6.822496252089992e-15,-5.7460643876452645e-15,1.035342375169979e-15,5.54797978892568e-16,-4.511826849282095e-15,-1.6080431036794654e-15,-2.5956201504151536e-15,-3.971041503743273e-15,-2.552758267115207e-15,-1.045780413879091e-15,7.612081429378511e-16,1.1969272553147202e-15,1.2899869005255226e-15,-9.294110075921449e-17
KM,-0.23377869899872444,0.37595901657639635,0.2955140968477091,-0.08862300045421959,0.19619423877149741,0.09865026288985713,-0.08352813128540366,0.18943767935866726,0.07042298689802512,0.06378051510954276,0.47550770642673434,-0.3054412526184102,-0.03818211820909291,0.4054179462677039
HP,0.20391027118299065,0.10517221748098468,-0.22488110514660317,0.3464974165961206,-0.04142671769607438,-0.3354559143568059,0.6179721765372169,-0.02118318632608206,-0.0922471328355599,0.19393719570257348,0.018970238192028182,-0.24301013296601534,-0.10574966280375107,0.16137561372984977
Met_Color,0.12124328558785502,0.03144419966430073,-0.061240737442072105,0.43424064635377263,0.2333025829261473,0.5165185410119036,-0.2286583195004741,0.042595247563572684,-0.451024948655032,0.442151082234344,-0.1131822704297775,0.005239304067686424,0.038504663828685046,-1.8309437460012568e-05
Automatic,0.0,-0.0,-0.0,-3.41740524767431e-16,0.0,4.163336342344337e-17,1.1102230246251565e-16,1.1102230246251565e-16,-4.163336342344337e-16,-1.942890293094024e-16,3.608224830031759e-16,-1.6653345369377348e-16,-7.355227538141662e-16,8.673617379884035e-17
cc,0.1469684439935137,0.27107694843374774,0.5048923521079745,0.17777168653647538,-0.1731709268938676,-0.1444212342925065,0.2618259801388278,0.026795652694290104,-0.23019209618011016,0.05040601602254755,0.07047269209513578,-0.04182055410543611,0.20915965243896217,-0.23491970121438444
Quarterly_Tax,0.18671142956379508,0.08155017913603663,0.5902039791912398,0.05601931183563477,0.06226537245747971,-0.08869844490990045,-0.07169423327049394,0.02014615589302532,-0.02880696403529024,-0.18854153505891122,-0.38047047316002075,0.08609407961423818,-0.10068020572489017,0.051881632811230205
Weight,1.4470784896066076e-15,6.163731882374258e-16,2.3997930569272725e-15,2.0582725542473884e-16,-8.096337642578288e-16,-4.688971426934876e-16,5.088592927722911e-16,-5.001876281789508e-16,-1.361955607230577e-15,-7.255110393383711e-16,-9.493126778194022e-16,8.758362614070341e-16,-2.0454575561640165e-16,1.0900964750282721e-15
Mfr_Guarantee,0.11270656618502703,-0.22063367745189605,-0.07595141161148534,0.38927183159064693,0.3461405663277871,-0.16696221604948255,-0.059908107964471505,0.6162508644639403,0.004530180415423173,-0.44179819813540117,0.1532846192580184,0.11836359399619352,0.08928415720027867,-0.02668753666306849
BOVAG_Guarantee,0.0,-0.0,-0.0,-5.551115123125783e-17,0.0,0.0,-5.551115123125783e-17,2.7755575615628914e-17,0.0,-5.551115123125783e-17,-2.7755575615628914e-17,-1.249000902703301e-16,-1.1102230246251565e-16,-3.608224830031759e-16
Guarantee_Period,-5.169878828456423e-26,-0.0,-5.421010862427522e-20,5.551115123125783e-17,0.0,5.551115123125783e-17,1.3877787807814457e-16,-1.3877787807814457e-16,7.563394355258879e-16,-2.220446049250313e-16,-2.498001805406602e-16,1.1102230246251565e-16,3.3306690738754696e-16,2.411265631607762e-16
